longitude,latitude,FID_1,layer,Count_,Avg_ID,Avg_X_MIN,Avg_X_MAX,Avg_Y_MIN,Avg_Y_MAX,Avg_1st_va,Avg_2nd_va,Avg_5th_va,Avg_6th_va,location,Avg_longit,Avg_latitu
-79.02018809,33.52407259,4913,0,1,4913,0,-79,33.5,0,33,79,6,3,337963,-79.08333333,33.58333333
-79.26961693,33.34834434,5038,0,1,5038,0,-79.16666666,33.33333333,0,33,79,5,4,337954,-79.25,33.41666667
-79.06429991,33.40670626,5039,0,1,5039,0,-79,33.33333333,0,33,79,6,4,337964,-79.08333333,33.41666667
-79.21757819,33.258137,5164,0,1,5164,0,-79.16666666,33.16666667,0,33,79,5,5,337955,-79.25,33.25
-79.08314345,33.24983238,5165,0,1,5165,0,-79,33.16666667,0,33,79,6,5,337965,-79.08333333,33.25
-79.53374559,33.01421949,5288,0,1,5288,0,-79.5,33,0,33,79,3,6,337936,-79.58333333,33.08333333
-79.37737473,33.03079253,5289,0,1,5289,0,-79.33333333,33,0,33,79,4,6,337946,-79.41666666,33.08333333
-79.24049835,33.06834611,5290,0,1,5290,0,-79.16666666,33,0,33,79,5,6,337956,-79.25,33.08333333
-79.08333333,33.08333333,5291,0,1,5291,0,-79,33,0,33,79,6,6,337966,-79.08333333,33.08333333
-79.92621101,32.84047949,5412,0,1,5412,-80,-79.83333333,32.83333333,33,32,79,1,1,327911,-79.91666666,32.91666667
-79.71158705,32.85396891,5413,0,1,5413,0,-79.66666666,32.83333333,33,32,79,2,1,327921,-79.75,32.91666667
-79.56744824,32.90768061,5414,0,1,5414,0,-79.5,32.83333333,33,32,79,3,1,327931,-79.58333333,32.91666667
-79.41660491,32.91659484,5415,0,1,5415,0,-79.33333333,32.83333333,33,32,79,4,1,327941,-79.41666666,32.91666667
-79.25,32.91666667,5416,0,1,5416,0,-79.16666666,32.83333333,33,32,79,5,1,327951,-79.25,32.91666667
-79.08333333,32.91666667,5417,0,1,5417,0,-79,32.83333333,33,32,79,6,1,327961,-79.08333333,32.91666667
-79.87953237,32.73754133,5538,0,1,5538,-80,-79.83333333,32.66666667,0,32,79,1,2,327912,-79.91666666,32.75
-79.74227753,32.73837358,5539,0,1,5539,0,-79.66666666,32.66666667,0,32,79,2,2,327922,-79.75,32.75
-79.58333333,32.75,5540,0,1,5540,0,-79.5,32.66666667,0,32,79,3,2,327932,-79.58333333,32.75
-79.41666667,32.75,5541,0,1,5541,0,-79.33333333,32.66666667,0,32,79,4,2,327942,-79.41666666,32.75
-79.25,32.75,5542,0,1,5542,0,-79.16666666,32.66666667,0,32,79,5,2,327952,-79.25,32.75
-79.08333333,32.75,5543,0,1,5543,0,-79,32.66666667,0,32,79,6,2,327962,-79.08333333,32.75
-80.54016496,32.50857895,5660,0,1,5660,0,-80.5,32.5,0,32,80,3,3,328033,-80.58333333,32.58333333
-80.39648927,32.52230036,5661,0,1,5661,0,-80.33333333,32.5,0,32,80,4,3,328043,-80.41666666,32.58333333
-80.21348138,32.53034141,5662,0,1,5662,0,-80.16666666,32.5,0,32,80,5,3,328053,-80.25,32.58333333
-80.07658664,32.54970989,5663,0,1,5663,0,-80,32.5,0,32,80,6,3,328063,-80.08333333,32.58333333
-79.91348532,32.57922454,5664,0,1,5664,-80,-79.83333333,32.5,0,32,79,1,3,327913,-79.91666666,32.58333333
-79.75,32.58333333,5665,0,1,5665,0,-79.66666666,32.5,0,32,79,2,3,327923,-79.75,32.58333333
